File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,label
main/org/apache/tools/ant/ProjectHelperRepository.java,2,2,2,1,15,0,11,4,0,0,0,2,1,4,16,0,16,15,3,16,0,1,6,0,9,0,339,30,213,61,123,99,0,0,0,88,132,56,76,0,0,0,0,0,6,6,6,3,0,0,3,0,0,0.46,43,43,45,24,0,0,0
main/org/apache/tools/ant/PropertyHelper.java,2,2,2,1,18,0,7,10,0,0,0,8,8,4,50,0,53,45,10,53,0,4,2,6,41,0,1237,86,453,134,239,698,0,0,0,171,292,120,172,0,0,0,0,0,8,8,11,5,0,0,3,0,0,1.54,109,109,126,72,0,0,0
main/org/apache/tools/ant/RuntimeConfigurable.java,2,2,2,1,14,0,8,6,0,0,0,3,0,2,32,0,32,32,12,32,0,2,3,0,27,0,611,58,295,92,162,259,0,0,0,122,199,87,112,0,0,0,0,0,18,18,18,8,0,0,6,0,0,0.88,82,82,85,46,0,0,0
main/org/apache/tools/ant/SubBuildListener.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,0,2,0,0,0,0,58,4,5,4,0,49,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.80,0,0,0,0,0,0,0
main/org/apache/tools/ant/Target.java,1,1,1,1,12,0,6,6,0,0,0,3,1,0,33,0,33,32,12,33,0,2,0,0,31,0,534,55,242,80,129,237,0,0,0,113,170,80,90,0,0,0,0,0,6,6,8,3,0,0,4,0,0,0.98,57,57,62,35,0,0,0
main/org/apache/tools/ant/Task.java,1,1,1,1,12,0,5,6,0,0,0,1,0,0,29,0,29,29,6,29,0,1,2,7,19,0,485,39,178,54,89,268,0,0,0,79,121,47,74,0,0,0,0,0,6,6,6,1,0,0,3,0,0,1.51,43,43,43,29,0,0,0
main/org/apache/tools/ant/TaskAdapter.java,2,2,2,1,19,0,10,9,0,0,0,1,1,0,7,0,7,6,1,7,0,0,0,0,7,0,182,15,78,23,48,89,0,0,0,31,47,19,28,0,0,0,0,0,9,9,9,1,0,0,3,0,0,1.14,19,19,19,7,0,0,0
main/org/apache/tools/ant/TaskConfigurationChecker.java,1,1,1,1,11,0,6,4,0,0,0,1,0,0,4,0,4,4,2,4,0,0,0,0,4,0,111,9,33,11,16,69,0,0,0,17,26,12,14,0,0,0,0,0,3,3,3,1,0,0,2,0,0,2.09,7,7,7,4,0,0,0
main/org/apache/tools/ant/TaskContainer.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,41,2,4,3,0,35,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0
main/org/apache/tools/ant/TypeAdapter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,5,0,5,0,0,0,0,66,7,8,7,0,51,0,0,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0
main/org/apache/tools/ant/UnknownElement.java,2,2,3,1,19,0,11,7,0,0,0,1,1,0,31,0,31,30,6,31,0,0,2,10,19,0,699,55,381,93,238,264,0,0,0,167,257,83,174,0,0,0,0,0,14,14,15,13,0,0,5,0,0,0.69,92,92,94,50,0,0,0
main/org/apache/tools/ant/UnsupportedAttributeException.java,1,1,1,1,8,0,3,5,0,0,0,1,0,1,2,0,2,2,1,2,0,0,0,0,2,0,49,5,12,6,4,32,0,0,0,6,9,6,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2.67,2,2,2,2,0,0,0
main/org/apache/tools/ant/UnsupportedElementException.java,1,1,1,1,8,0,3,5,0,0,0,1,0,1,2,0,2,2,1,2,0,0,0,0,2,0,57,4,12,6,4,41,0,0,0,6,9,6,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3.42,2,2,2,2,0,0,0
main/org/apache/tools/ant/XmlLogger.java,2,2,2,1,18,0,12,5,0,0,0,2,1,11,18,0,18,17,9,18,0,0,5,0,13,0,474,49,262,99,171,166,0,0,0,153,201,100,101,0,0,0,0,0,9,7,11,5,0,0,3,0,0,0.63,48,46,52,22,0,0,0
main/org/apache/tools/ant/attribute/AttributeNamespace.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,3,2,0,23,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,0,0,0,0
main/org/apache/tools/ant/attribute/BaseIfAttribute.java,1,1,1,1,10,0,6,5,0,0,0,1,0,0,4,0,4,4,1,4,0,0,0,4,0,0,84,8,34,19,15,43,0,0,0,18,26,19,7,0,0,0,0,0,3,3,3,1,0,0,2,0,0,1.26,7,7,7,4,0,0,0
main/org/apache/tools/ant/attribute/EnableAttribute.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,35,3,5,4,0,27,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40,0,0,0,0,0,0,0
main/org/apache/tools/ant/attribute/IfBlankAttribute.java,1,1,2,1,7,0,3,4,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,39,3,10,5,2,26,0,0,0,4,7,5,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2.60,1,1,2,1,0,0,0
main/org/apache/tools/ant/attribute/IfSetAttribute.java,1,1,1,1,7,0,3,4,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,39,3,10,5,2,26,0,0,0,4,7,5,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2.60,1,1,1,1,0,0,0
main/org/apache/tools/ant/attribute/IfTrueAttribute.java,1,1,1,1,7,0,3,4,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,41,4,11,6,2,26,0,0,0,5,8,6,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2.36,1,1,1,1,0,0,0
main/org/apache/tools/ant/dispatch/DispatchTask.java,1,1,1,1,7,0,3,4,0,0,0,1,0,0,3,0,3,3,1,3,0,0,0,0,3,0,58,5,14,7,3,39,0,0,0,6,10,7,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2.79,3,3,3,3,0,0,0
main/org/apache/tools/ant/dispatch/DispatchUtils.java,19,19,22,1,92,0,87,5,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,124,3,95,21,70,26,0,0,0,40,58,21,37,0,0,0,0,0,19,19,22,1,0,0,8,0,0,0.27,19,19,22,1,0,0,0
main/org/apache/tools/ant/dispatch/Dispatchable.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,31,1,4,3,0,26,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50,0,0,0,0,0,0,0
main/org/apache/tools/ant/filters/BaseFilterReader.java,1,1,1,1,14,0,6,8,0,0,0,1,0,1,10,0,10,10,2,10,0,0,0,5,5,0,199,19,76,26,36,104,0,0,0,37,57,26,31,0,0,0,0,0,4,4,4,4,0,0,3,0,0,1.37,19,19,19,18,0,0,0
